rcasiteid,samp,upedon,TOP,BOT,Bulkdensity,SOC_pred1,Texture,fragvolc,c_tot_ncs,n_tot_ncs,s_tot_ncs,caco3,SOCstock5,SOCstock30,SOCstock100,Land_Use,lon,lat,geometry
F0117F01,F0117F011-6,F0117F011,100,125,1.37427492,0.00521472,None,0.0,7.094038858103031,0.27320360773939395,0.0181003231030303,2.4208391408250356,105.893247939807,175.104393261477,217.881572560069,Forestland,-124.04,48.11,POINT (-124.04 48.11)
C0101W05,C0101W051-1,C0101W051,0,8,0.884497118,25.77,PM,0.0,25.77380946,1.11014643,0.06173497,14.567524905405405,90.2321999683742,543.776106607399,1697.6828951314,Wetland,-124.04,47.1,POINT (-124.04 47.1)
C0101W05,C0101W051-2,C0101W051,8,47,0.900078321,25.94,PM,0.0,25.93536277,0.80893375,0.07422397,14.567524905405405,90.2321999683742,543.776106607399,1697.6828951314,Wetland,-124.04,47.1,POINT (-124.04 47.1)
C0101W05,C0101W051-3,C0101W051,47,100,0.96854834,22.78,PM,0.0,22.78371891,1.22393656,0.11508015,14.567524905405405,90.2321999683742,543.776106607399,1697.6828951314,Wetland,-124.04,47.1,POINT (-124.04 47.1)
C0119F02,C0119F021-1,C0119F021,0,7,0.884497118,41.58,PM,0.0,41.58347623,1.21192025,0.09991896,2.4208391408250356,144.514458822669,333.063199554402,170.74446555211804,Forestland,-124.03,46.4,POINT (-124.03 46.4)
C0119F02,C0119F021-2,C0119F021,7,14,0.912333638,14.66,PM,0.0,14.66072872,0.56636721,0.0,2.4208391408250356,144.514458822669,333.063199554402,170.74446555211804,Forestland,-124.03,46.4,POINT (-124.03 46.4)
C0119F02,C0119F021-3,C0119F021,14,21,1.460933714,17.25658046,ls,0.0,3.13130435,0.21280709,0.0060802,2.4208391408250356,144.514458822669,333.063199554402,170.74446555211804,Forestland,-124.03,46.4,POINT (-124.03 46.4)
C0119F02,C0119F021-4,C0119F021,21,50,0.813441917,29.94634743,ls,0.0,4.01619207,0.20490776,0.01024539,2.4208391408250356,144.514458822669,333.063199554402,170.74446555211804,Forestland,-124.03,46.4,POINT (-124.03 46.4)
C0119F02,C0119F021-5,C0119F021,50,64,1.522057782,9.225281925,s,0.0,0.69612338,0.06053247,0.0,2.4208391408250356,144.514458822669,333.063199554402,170.74446555211804,Forestland,-124.03,46.4,POINT (-124.03 46.4)
C0119F02,C0119F021-6,C0119F021,64,100,1.340837007,8.068519367,None,0.0,7.094038858103031,0.27320360773939395,0.0181003231030303,2.4208391408250356,144.514458822669,333.063199554402,170.74446555211804,Forestland,-124.03,46.4,POINT (-124.03 46.4)
C0101W04,C0101W041-1,C0101W041,0,8,0.884497118,34.15,PM,0.0,34.14940364,1.86356503,0.08403061,14.567524905405405,117.98180114018,231.814202387964,266.6248797208274,Wetland,-124.03,46.4,POINT (-124.03 46.4)
